ID,FIPS Code,Geographic Area Description,Enterprise Employment Size,Number of Firms,Number of Establishments,Employment,Employment Noise Flag,"Annual Payroll",Annual Payroll Noise Flag
263,32,Nevada,02:  0-4,28066,28101,43075,G,2123865,G
264,32,Nevada,03:  5-9,7466,7518,49132,G,1709427,G
265,32,Nevada,04:  10-19,4802,5016,62999,G,2295043,G
266,32,Nevada,05:  <20,40334,40635,155206,G,6128335,G
267,32,Nevada,06:  20-99,4293,5316,147106,G,5487189,G
268,32,Nevada,07:  100-499,1491,2982,125862,G,4643096,G
269,32,Nevada,08:  <500,46118,48933,428174,G,16258620,G
270,32,Nevada,09:  500+,2126,11373,619483,G,25342054,G
271,33,New Hampshire,01:  Total,30427,37185,551793,G,24905652,G
272,33,New Hampshire,02:  0-4,16904,16929,29312,G,1241323,G
273,33,New Hampshire,03:  5-9,5356,5391,35097,G,1291208,G
274,33,New Hampshire,04:  10-19,3253,3392,42953,G,1701129,G
275,33,New Hampshire,05:  <20,25513,25712,107362,G,4233660,G
276,33,New Hampshire,06:  20-99,2854,3537,100022,G,4255727,G
277,33,New Hampshire,07:  100-499,777,1849,79324,G,3543820,G
278,33,New Hampshire,08:  <500,29144,31098,286708,G,12033207,G
279,33,New Hampshire,09:  500+,1283,6087,265085,G,12872445,G
280,34,New Jersey,01:  Total,194184,230281,3492216,G,195072595,G
281,34,New Jersey,02:  0-4,120376,120513,203893,G,8580231,G
282,34,New Jersey,03:  5-9,31580,31825,206742,G,8186766,G
283,34,New Jersey,04:  10-19,18672,19258,248202,G,10602968,G
284,34,New Jersey,05:  <20,170628,171596,658837,G,27369965,G
285,34,New Jersey,06:  20-99,16400,19068,606512,G,28680869,G
286,34,New Jersey,07:  100-499,3880,8108,484055,G,24990663,G
287,34,New Jersey,08:  <500,190908,198772,1749404,G,81041497,G
288,34,New Jersey,09:  500+,3276,31509,1742812,G,114031098,G
289,35,New Mexico,01:  Total,34866,43736,597988,G,22920528,G
290,35,New Mexico,02:  0-4,19340,19366,33441,G,1121327,G
291,35,New Mexico,03:  5-9,5936,5989,38943,G,1195425,G
292,35,New Mexico,04:  10-19,3775,3922,50219,G,1650859,G
293,35,New Mexico,05:  <20,29051,29277,122603,G,3967611,G
294,35,New Mexico,06:  20-99,3362,4410,118251,G,3995171,G
295,35,New Mexico,07:  100-499,909,2336,90776,G,3424900,G
296,35,New Mexico,08:  <500,33322,36023,331630,G,11387682,G
297,35,New Mexico,09:  500+,1544,7713,266358,G,11532846,G
298,36,New York,01:  Total,455727,532669,7688492,G,466815127,G
299,36,New York,02:  0-4,299813,300084,490872,G,21593895,G
300,36,New York,03:  5-9,69246,69726,452111,G,18172010,G
301,36,New York,04:  10-19,40512,41898,538895,G,23433815,G
302,36,New York,05:  <20,409571,411708,1481878,G,63199720,G
303,36,New York,06:  20-99,34209,40900,1280592,G,63703736,G
304,36,New York,07:  100-499,7507,19025,1131204,G,63005970,G
305,36,New York,08:  <500,451287,471633,3893674,G,189909426,G
306,36,New York,09:  500+,4440,61036,3794818,G,276905701,G
307,37,North Carolina,01:  Total,167548,218285,3421195,G,143341880,G
308,37,North Carolina,02:  0-4,99397,99516,165426,G,5737238,G
309,37,North Carolina,03:  5-9,28470,28780,187150,G,5939649,G
310,37,North Carolina,04:  10-19,17214,18083,228595,G,7402190,G
311,37,North Carolina,05:  <20,145081,146379,581171,G,19079077,G
312,37,North Carolina,06:  20-99,15261,20450,558238,G,19213545,G
313,37,North Carolina,07:  100-499,3657,10621,434842,G,17089330,G
314,37,North Carolina,08:  <500,163999,177450,1574251,G,55381952,G
315,37,North Carolina,09:  500+,3549,40835,1846944,G,87959928,G
316,38,North Dakota,01:  Total,19894,24088,342747,G,15559617,G
317,38,North Dakota,02:  0-4,11052,11058,17757,G,701903,G
318,38,North Dakota,03:  5-9,3344,3380,22114,G,771110,G
319,38,North Dakota,04:  10-19,2138,2282,28529,G,1054101,G
320,38,North Dakota,05:  <20,16534,16720,68400,G,2527114,G
321,38,North Dakota,06:  20-99,1992,2754,72263,G,2983055,G
322,38,North Dakota,07:  100-499,539,1499,58954,G,2500320,G
323,38,North Dakota,08:  <500,19065,20973,199617,G,8010489,G
324,38,North Dakota,09:  500+,829,3115,143130,G,7549128,G
325,39,Ohio,01:  Total,186026,250117,4587136,G,195630962,G
326,39,Ohio,02:  0-4,100699,100854,178334,G,6405686,G
327,39,Ohio,03:  5-9,34397,34828,227189,G,7242534,G
328,39,Ohio,04:  10-19,22252,23464,297105,G,10222486,G
329,39,Ohio,05:  <20,157348,159146,702628,G,23870706,G
330,39,Ohio,06:  20-99,20004,26702,755603,G,28005601,G
331,39,Ohio,07:  100-499,4799,14448,660597,G,26618228,G
332,39,Ohio,08:  <500,182151,200296,2118828,G,78494535,G
333,39,Ohio,09:  500+,3875,49821,2468308,G,117136427,G
334,40,Oklahoma,01:  Total,72599,91717,1325927,G,54712621,G
335,40,Oklahoma,02:  0-4,42298,42350,72494,G,2584656,G
